Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
80.07379	19.32025	80.53423	227.31202	80.16308	9.84475	9.85362
80.07379	19.2794	80.57497	227.33182	80.14498	9.84442	9.85329
80.07884	19.2845	80.54781	227.4308	80.22192	9.84409	9.85296
80.06368	19.29472	80.58402	227.50008	80.16761	9.84507	9.85296
80.06873	19.31003	80.6157	227.54462	80.20834	9.84442	9.85231
80.04345	19.34067	80.66097	227.61885	80.16308	9.84507	9.85264
80.04345	19.2845	80.63833	227.74752	80.25813	9.84409	9.85329
80.06368	19.30493	80.5976	227.73762	80.08161	9.84475	9.85329
80.06368	19.31514	80.58855	227.78711	80.18119	9.84376	9.85296
80.06873	19.31003	80.60213	227.89103	80.21287	9.84442	9.85362
80.02829	19.2794	80.58855	227.96526	80.2174	9.84409	9.85231
80.04851	19.29982	80.67454	227.85639	80.25361	9.84475	9.85329
80.08895	19.32025	80.61118	227.91083	80.21287	9.84475	9.85296
80.06368	19.29982	80.64739	228.02465	80.04993	9.84376	9.85264
80.07884	19.33556	80.62476	228.02465	80.11782	9.84475	9.85198
80.0839	19.26919	80.65644	228.2028	80.19929	9.84343	9.85231
80.06873	19.32025	80.63833	228.04939	80.15856	9.84507	9.85165
80.08895	19.31514	80.59307	228.25724	80.17213	9.84343	9.85296
80.05357	19.31003	80.5976	228.16816	80.13592	9.8454	9.85296
80.07884	19.2794	80.60665	228.18301	80.09066	9.84475	9.85296
80.04851	19.2845	80.66549	228.31168	80.13592	9.84442	9.85329
80.0839	19.32025	80.57044	228.26219	80.1495	9.84507	9.85296
80.07379	19.26408	80.56592	228.2028	80.21287	9.84409	9.85329
80.05862	19.30493	80.71528	228.29683	80.14045	9.84507	9.85329
80.07379	19.30493	80.67002	228.37106	80.17666	9.84277	9.85329
80.09401	19.34067	80.69265	228.18301	80.24455	9.84409	9.85296
80.06368	19.2794	80.52971	228.45519	80.14045	9.8431	9.85296
80.05862	19.31003	80.62476	228.15826	80.08161	9.8454	9.85264
80.02323	19.28961	80.6836	228.2325	80.06351	9.84442	9.85264
80.03334	19.29472	80.62928	228.05434	80.20382	9.84507	9.85329
80.05357	19.28961	80.66097	228.09393	80.09519	9.84409	9.85264
80.07884	19.26919	80.65644	228.0098	80.10424	9.84409	9.85329
80.04851	19.30493	80.64286	228.10878	80.15856	9.84475	9.85198
80.06873	19.29982	80.58402	228.03454	80.17666	9.84442	9.85329
80.05357	19.32535	80.68812	228.0098	80.1314	9.84475	9.85264
80.07379	19.26919	80.60213	228.00485	80.09519	9.84376	9.85296
80.06368	19.29982	80.67454	227.98506	80.25361	9.84442	9.85198
80.0839	19.31003	80.6157	227.9999	80.1495	9.8431	9.85329
80.03334	19.31003	80.5976	228.0296	80.18571	9.84475	9.85264
80.03334	19.29472	80.61118	228.15331	80.22192	9.84343	9.85329
80.07379	19.33046	80.65644	228.01475	80.17666	9.84442	9.85329
80.05862	19.31003	80.59307	228.16816	80.12235	9.84409	9.85395
80.05357	19.30493	80.57949	228.10878	80.22192	9.8454	9.85329
80.04851	19.31003	80.5976	228.17806	80.11329	9.84475	9.85264
80.05862	19.29472	80.69265	228.10383	80.10877	9.84475	9.85329
80.07379	19.32025	80.52065	228.16321	80.24003	9.84507	9.85264
80.07884	19.2845	80.65191	228.06424	80.17666	9.84409	9.85296
80.06873	19.31514	80.59307	228.16816	80.13592	9.84507	9.85264
80.05357	19.33046	80.52971	228.02465	80.08614	9.8431	9.85264
80.02829	19.32025	80.57044	228.08898	80.17666	9.8454	9.85329
80.05862	19.2794	80.66097	228.0296	80.18119	9.84376	9.85362
80.04851	19.32025	80.6836	228.12362	80.16308	9.84475	9.85296
80.04851	19.29982	80.67454	227.9999	80.15856	9.84376	9.85329
80.02323	19.30493	80.50255	227.97021	80.24908	9.84442	9.85296
80.05862	19.29982	80.62023	228.0296	80.09972	9.84442	9.85231
80.05357	19.32535	80.71075	227.93062	80.15856	9.84475	9.85296
80.0384	19.29472	80.57949	227.97516	80.19024	9.84409	9.85198
80.04345	19.29472	80.64739	227.85639	80.12687	9.84409	9.85264
80.05862	19.29982	80.56139	228.0296	80.16761	9.8454	9.85329
80.01312	19.28961	80.67454	227.91577	80.1495	9.84343	9.85329
80.03334	19.31514	80.52971	227.94052	80.28982	9.84475	9.85296
80.07379	19.26408	80.61118	227.94052	80.09066	9.84343	9.85395
80.05862	19.35599	80.60213	227.91577	80.19477	9.84507	9.85296
80.04851	19.30493	80.5976	227.85639	80.1314	9.84409	9.85296
80.07379	19.31003	80.63833	227.89103	80.03182	9.84507	9.85264
80.06368	19.29982	80.57497	227.8168	80.17213	9.84442	9.85264
80.06368	19.32025	80.61118	227.78711	80.15856	9.84507	9.85264
80.04851	19.29982	80.62023	227.92072	80.20382	9.84442	9.85296
